"conservation_id","location","carbon_credits","activity_count","avg_participants","total_benefit","avg_days_between_activity_and_record","correlation_activity_carbon"
"C006","Labuhan Batu",400,"1","11.0000000000000000","8000000","-10.0000000000000000",NULL
"C014","Sampit",375,"1","9.0000000000000000","7500000","-10.0000000000000000",NULL
"C002","Takalar",370,"1","8.0000000000000000","7500000","-10.0000000000000000",NULL
"C010","Kubu Raya",350,"1","12.0000000000000000","7000000","-10.0000000000000000",NULL
"C019","Jember",350,"1","13.0000000000000000","7000000","-10.0000000000000000",NULL
"C016","Pekalongan",325,"1","10.0000000000000000","6500000","-10.0000000000000000",NULL
"C004","Lampung Barat",300,"1","15.0000000000000000","6000000","-10.0000000000000000",NULL
"C012","Karawang",300,"1","11.0000000000000000","6000000","-10.0000000000000000",NULL
"C018","Tegal",275,"1","11.0000000000000000","5500000","-10.0000000000000000",NULL
"C009","Merauke",270,"1","13.0000000000000000","5500000","-10.0000000000000000",NULL
"C001","Aceh Jaya",250,"1","10.0000000000000000","5000000","-10.0000000000000000",NULL
"C013","Banyuwangi",250,"1","14.0000000000000000","5000000","-10.0000000000000000",NULL
"C020","Blitar",225,"1","10.0000000000000000","4500000","-4.0000000000000000",NULL
"C011","Pontianak",225,"1","10.0000000000000000","4500000","-10.0000000000000000",NULL
"C005","Bengkulu Utara",220,"1","9.0000000000000000","4500000","-10.0000000000000000",NULL
"C008","Seram Bagian Barat",200,"1","8.0000000000000000","4000000","-10.0000000000000000",NULL
"C017","Serang",200,"1","8.0000000000000000","4000000","-11.0000000000000000",NULL
"C007","Minahasa Selatan",170,"1","10.0000000000000000","3500000","-10.0000000000000000",NULL
"C015","Sampang",150,"1","12.0000000000000000","3000000","-10.0000000000000000",NULL
"C003","Tanah Laut",150,"1","12.0000000000000000","3000000","-10.0000000000000000",NULL
